Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2089
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,15
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002037354279309511
power__switching__total,0.0022705853916704655
power__leakage__total,4.2960130031133303E-7
power__total,0.004308369476348162
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2614999402144884
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2598819011326385
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12534856840622707
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.047609695311495
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.125349
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.825755
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,15
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26760952544736716
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.26724115343737825
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6565056462058849
timing__setup__ws__corner:nom_slow_1p08V_125C,6.494953203543077
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.656506
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.494953
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,15
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2634593728860659
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2623453195604982
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31905939904292113
timing__setup__ws__corner:nom_typ_1p20V_25C,11.392162202700307
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.319059
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.392162
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2614999402144884
clock__skew__worst_setup,0.2598819011326385
timing__hold__ws,0.12534856840622707
timing__setup__ws,6.494953203543077
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.125349
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.494953
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1652
design__instance__area__stdcell,27364.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.945521
design__instance__utilization__stdcell,0.945521
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,10
design__instance__area__class:buffer,72.576
design__instance__count__class:inverter,52
design__instance__area__class:inverter,283.046
design__instance__count__class:sequential_cell,205
design__instance__area__class:sequential_cell,10042.7
design__instance__count__class:multi_input_combinational_cell,960
design__instance__area__class:multi_input_combinational_cell,10759.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,26366.7
design__instance__displacement__mean,15.96
design__instance__displacement__max,196.32
route__wirelength__estimated,67241.3
design__violations,0
design__instance__count__class:timing_repair_buffer,395
design__instance__area__class:timing_repair_buffer,5488.56
design__instance__count__class:clock_buffer,23
design__instance__area__class:clock_buffer,651.37
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,67.1328
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,289
global_route__vias,13109
global_route__wirelength,102765
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1661
route__net__special,2
route__drc_errors__iter:0,644
route__wirelength__iter:0,72522
route__drc_errors__iter:1,297
route__wirelength__iter:1,72120
route__drc_errors__iter:2,308
route__wirelength__iter:2,72163
route__drc_errors__iter:3,14
route__wirelength__iter:3,71988
route__drc_errors__iter:4,0
route__wirelength__iter:4,71989
route__drc_errors,0
route__wirelength,71989
route__vias,12320
route__vias__singlecut,12320
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,360.155
design__instance__count__class:fill_cell,437
design__instance__area__class:fill_cell,1576.71
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,19
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
