Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2108
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,14
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0021392791531980038
power__switching__total,0.0026174120139330626
power__leakage__total,4.26002458198127E-7
power__total,0.004757117014378309
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26005220934943263
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2584825759928253
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.13536419590596366
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.193021382118904
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.135364
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.820302
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,14
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2631877013042567
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2678387587528598
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6914913282142429
timing__setup__ws__corner:nom_slow_1p08V_125C,6.404208011835866
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.691491
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.404208
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,14
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26114133816739254
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26108138612236725
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3360957718376157
timing__setup__ws__corner:nom_typ_1p20V_25C,11.335642967364215
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.336096
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.335643
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26005220934943263
clock__skew__worst_setup,0.2584825759928253
timing__hold__ws,0.13536419590596366
timing__setup__ws,6.404208011835866
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135364
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.404208
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1675
design__instance__area__stdcell,27377.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.94596
design__instance__utilization__stdcell,0.94596
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,10
design__instance__area__class:buffer,72.576
design__instance__count__class:inverter,63
design__instance__area__class:inverter,342.922
design__instance__count__class:sequential_cell,205
design__instance__area__class:sequential_cell,10042.7
design__instance__count__class:multi_input_combinational_cell,967
design__instance__area__class:multi_input_combinational_cell,10688.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,20036.8
design__instance__displacement__mean,11.962
design__instance__displacement__max,164.94
route__wirelength__estimated,58210
design__violations,0
design__instance__count__class:timing_repair_buffer,398
design__instance__area__class:timing_repair_buffer,5519.4
design__instance__count__class:clock_buffer,21
design__instance__area__class:clock_buffer,604.195
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,107.05
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,290
global_route__vias,12199
global_route__wirelength,90892
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1682
route__net__special,2
route__drc_errors__iter:0,568
route__wirelength__iter:0,62787
route__drc_errors__iter:1,240
route__wirelength__iter:1,62404
route__drc_errors__iter:2,254
route__wirelength__iter:2,62312
route__drc_errors__iter:3,1
route__wirelength__iter:3,62223
route__drc_errors__iter:4,0
route__wirelength__iter:4,62224
route__drc_errors,0
route__wirelength,62224
route__vias,11581
route__vias__singlecut,11581
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,287.31
design__instance__count__class:fill_cell,433
design__instance__area__class:fill_cell,1564.01
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,21
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,21
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,21
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
