Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2102
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,14
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0015821256674826145
power__switching__total,0.0012090248055756092
power__leakage__total,4.0827222846928635E-7
power__total,0.0027915588580071926
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26060293549637353
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26310571133156935
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.14777557373829533
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.361300111166635
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.147776
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.361300
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,14
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2646672955710205
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2664147866612029
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7168021934454873
timing__setup__ws__corner:nom_slow_1p08V_125C,6.851492012111645
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.716802
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,6.851492
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,14
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2614710466594554
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26437411341750083
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3571698038424598
timing__setup__ws__corner:nom_typ_1p20V_25C,11.608092593491051
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.357170
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,11.608092
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,14
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26060293549637353
clock__skew__worst_setup,0.26310571133156935
timing__hold__ws,0.14777557373829533
timing__setup__ws,6.851492012111645
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.147776
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.851492
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1714
design__instance__area__stdcell,27749.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.958811
design__instance__utilization__stdcell,0.958811
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,10
design__instance__area__class:buffer,72.576
design__instance__count__class:inverter,69
design__instance__area__class:inverter,375.581
design__instance__count__class:sequential_cell,205
design__instance__area__class:sequential_cell,10042.7
design__instance__count__class:multi_input_combinational_cell,985
design__instance__area__class:multi_input_combinational_cell,10882.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,19075.5
design__instance__displacement__mean,11.135
design__instance__displacement__max,125.58
route__wirelength__estimated,55079.4
design__violations,0
design__instance__count__class:timing_repair_buffer,413
design__instance__area__class:timing_repair_buffer,5646.41
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,627.782
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,96.1632
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,292
global_route__vias,4944
global_route__wirelength,88322
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
route__net,1721
route__net__special,2
route__drc_errors__iter:0,776
route__wirelength__iter:0,62107
route__drc_errors__iter:1,395
route__wirelength__iter:1,61810
route__drc_errors__iter:2,337
route__wirelength__iter:2,61776
route__drc_errors__iter:3,25
route__wirelength__iter:3,61589
route__drc_errors__iter:4,0
route__wirelength__iter:4,61578
route__drc_errors,0
route__wirelength,61578
route__vias,12164
route__vias__singlecut,12164
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,249.265
design__instance__count__class:fill_cell,388
design__instance__area__class:fill_cell,1192.06
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
