Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2113
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,15
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.001535752322524786
power__switching__total,0.0010212012566626072
power__leakage__total,4.322560016589705E-7
power__total,0.0025573859456926584
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25690955645589714
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25771652208416845
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.16549281857767326
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.678314090762289
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.165493
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,14.678314
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,15
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.26525302149980257
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2653441430571257
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7542578441977356
timing__setup__ws__corner:nom_slow_1p08V_125C,7.668243146398786
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.754258
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,7.668243
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,15
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2594277088804189
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2600202904365719
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3809264123064229
timing__setup__ws__corner:nom_typ_1p20V_25C,12.110456980022313
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.380926
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,12.110457
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25690955645589714
clock__skew__worst_setup,0.25771652208416845
timing__hold__ws,0.16549281857767326
timing__setup__ws,7.668243146398786
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.165493
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.668243
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1643
design__instance__area__stdcell,27177.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.939063
design__instance__utilization__stdcell,0.939063
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,9
design__instance__area__class:buffer,65.3184
design__instance__count__class:inverter,58
design__instance__area__class:inverter,315.706
design__instance__count__class:sequential_cell,203
design__instance__area__class:sequential_cell,9944.73
design__instance__count__class:multi_input_combinational_cell,940
design__instance__area__class:multi_input_combinational_cell,10552.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,13556
design__instance__displacement__mean,8.25
design__instance__displacement__max,103.26
route__wirelength__estimated,45620.6
design__violations,0
design__instance__count__class:timing_repair_buffer,401
design__instance__area__class:timing_repair_buffer,5577.47
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,627.782
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,94.3488
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,294
global_route__vias,11676
global_route__wirelength,76096
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1650
route__net__special,2
route__drc_errors__iter:0,503
route__wirelength__iter:0,49325
route__drc_errors__iter:1,208
route__wirelength__iter:1,49054
route__drc_errors__iter:2,177
route__wirelength__iter:2,48941
route__drc_errors__iter:3,0
route__wirelength__iter:3,48902
route__drc_errors,0
route__wirelength,48902
route__vias,10908
route__vias__singlecut,10908
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,242.555
design__instance__count__class:fill_cell,470
design__instance__area__class:fill_cell,1763.6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,21
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,21
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,21
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
